actualStartTime,description,tournamentLevel,matchNumber,scoreRedFinal,scoreRedFoul,scoreRedAuto,scoreBlueFinal,scoreBlueFoul,scoreBlueAuto,postResultTime,teams
2017-03-31T08:59:37.27,Qualification 1,Qualification,1,305,0,75,195,50,15,2017-03-31T09:03:37.2733333,"[{'teamNumber': 1756, 'station': 'Red1', 'dq': False}, {'teamNumber': 111, 'station': 'Red2', 'dq': False}, {'teamNumber': 1288, 'station': 'Red3', 'dq': False}, {'teamNumber': 2704, 'station': 'Blue1', 'dq': False}, {'teamNumber': 3067, 'station': 'Blue2', 'dq': False}, {'teamNumber': 3138, 'station': 'Blue3', 'dq': False}]"
2017-03-31T09:09:18.6133333,Qualification 2,Qualification,2,266,30,16,145,0,15,2017-03-31T09:12:00.8566667,"[{'teamNumber': 4096, 'station': 'Red1', 'dq': False}, {'teamNumber': 2136, 'station': 'Red2', 'dq': False}, {'teamNumber': 2338, 'station': 'Red3', 'dq': False}, {'teamNumber': 2151, 'station': 'Blue1', 'dq': False}, {'teamNumber': 5934, 'station': 'Blue2', 'dq': False}, {'teamNumber': 3734, 'station': 'Blue3', 'dq': False}]"
2017-03-31T09:17:42.5733333,Qualification 3,Qualification,3,230,0,10,161,0,27,2017-03-31T09:20:23.15,"[{'teamNumber': 5822, 'station': 'Red1', 'dq': False}, {'teamNumber': 3488, 'station': 'Red2', 'dq': False}, {'teamNumber': 4284, 'station': 'Red3', 'dq': False}, {'teamNumber': 2781, 'station': 'Blue1', 'dq': False}, {'teamNumber': 5125, 'station': 'Blue2', 'dq': False}, {'teamNumber': 16, 'station': 'Blue3', 'dq': False}]"
2017-03-31T09:28:03.0133333,Qualification 4,Qualification,4,425,175,70,80,0,0,2017-03-31T09:30:52.8633333,"[{'teamNumber': 4979, 'station': 'Red1', 'dq': False}, {'teamNumber': 1511, 'station': 'Red2', 'dq': False}, {'teamNumber': 4524, 'station': 'Red3', 'dq': False}, {'teamNumber': 6651, 'station': 'Blue1', 'dq': False}, {'teamNumber': 4292, 'station': 'Blue2', 'dq': False}, {'teamNumber': 2725, 'station': 'Blue3', 'dq': True}]"
2017-03-31T09:36:00.7766667,Qualification 5,Qualification,5,308,0,78,316,50,77,2017-03-31T09:38:42.47,"[{'teamNumber': 2039, 'station': 'Red1', 'dq': False}, {'teamNumber': 1592, 'station': 'Red2', 'dq': False}, {'teamNumber': 383, 'station': 'Red3', 'dq': False}, {'teamNumber': 144, 'station': 'Blue1', 'dq': False}, {'teamNumber': 2022, 'station': 'Blue2', 'dq': False}, {'teamNumber': 2709, 'station': 'Blue3', 'dq': False}]"
2017-03-31T09:44:10.54,Qualification 6,Qualification,6,300,0,70,185,0,15,2017-03-31T09:47:34.5766667,"[{'teamNumber': 1739, 'station': 'Red1', 'dq': False}, {'teamNumber': 3620, 'station': 'Red2', 'dq': False}, {'teamNumber': 1625, 'station': 'Red3', 'dq': False}, {'teamNumber': 2526, 'station': 'Blue1', 'dq': False}, {'teamNumber': 3110, 'station': 'Blue2', 'dq': False}, {'teamNumber': 4655, 'station': 'Blue3', 'dq': False}]"
2017-03-31T09:52:03.7066667,Qualification 7,Qualification,7,205,0,75,286,0,45,2017-03-31T09:54:45.6833333,"[{'teamNumber': 3061, 'station': 'Red1', 'dq': False}, {'teamNumber': 5847, 'station': 'Red2', 'dq': False}, {'teamNumber': 3352, 'station': 'Red3', 'dq': False}, {'teamNumber': 101, 'station': 'Blue1', 'dq': False}, {'teamNumber': 2451, 'station': 'Blue2', 'dq': False}, {'teamNumber': 1986, 'station': 'Blue3', 'dq': False}]"
2017-03-31T09:59:05.34,Qualification 8,Qualification,8,245,0,75,253,0,73,2017-03-31T10:02:02.9833333,"[{'teamNumber': 1405, 'station': 'Red1', 'dq': False}, {'teamNumber': 1939, 'station': 'Red2', 'dq': False}, {'teamNumber': 4787, 'station': 'Red3', 'dq': False}, {'teamNumber': 1781, 'station': 'Blue1', 'dq': False}, {'teamNumber': 5350, 'station': 'Blue2', 'dq': False}, {'teamNumber': 4213, 'station': 'Blue3', 'dq': False}]"
2017-03-31T10:07:02.7,Qualification 9,Qualification,9,241,25,76,320,125,15,2017-03-31T10:09:43.01,"[{'teamNumber': 4645, 'station': 'Red1', 'dq': False}, {'teamNumber': 1736, 'station': 'Red2', 'dq': False}, {'teamNumber': 5811, 'station': 'Red3', 'dq': False}, {'teamNumber': 2151, 'station': 'Blue1', 'dq': False}, {'teamNumber': 1723, 'station': 'Blue2', 'dq': False}, {'teamNumber': 4241, 'station': 'Blue3', 'dq': False}]"
2017-03-31T10:14:13.8166667,Qualification 10,Qualification,10,250,0,70,337,50,17,2017-03-31T10:16:54.0033333,"[{'teamNumber': 4979, 'station': 'Red1', 'dq': False}, {'teamNumber': 2725, 'station': 'Red2', 'dq': True}, {'teamNumber': 1288, 'station': 'Red3', 'dq': False}, {'teamNumber': 5822, 'station': 'Blue1', 'dq': False}, {'teamNumber': 2338, 'station': 'Blue2', 'dq': False}, {'teamNumber': 144, 'station': 'Blue3', 'dq': False}]"
2017-03-31T10:22:33.97,Qualification 11,Qualification,11,195,0,15,309,0,78,2017-03-31T10:26:30.4633333,"[{'teamNumber': 2781, 'station': 'Red1', 'dq': False}, {'teamNumber': 5934, 'station': 'Red2', 'dq': False}, {'teamNumber': 101, 'station': 'Red3', 'dq': False}, {'teamNumber': 2022, 'station': 'Blue1', 'dq': False}, {'teamNumber': 4655, 'station': 'Blue2', 'dq': True}, {'teamNumber': 3734, 'station': 'Blue3', 'dq': False}]"
2017-03-31T10:32:03.33,Qualification 12,Qualification,12,255,0,75,346,50,87,2017-03-31T10:34:54.58,"[{'teamNumber': 2039, 'station': 'Red1', 'dq': False}, {'teamNumber': 2704, 'station': 'Red2', 'dq': False}, {'teamNumber': 1405, 'station': 'Red3', 'dq': False}, {'teamNumber': 1511, 'station': 'Blue1', 'dq': False}, {'teamNumber': 1739, 'station': 'Blue2', 'dq': False}, {'teamNumber': 1986, 'station': 'Blue3', 'dq': False}]"
2017-03-31T10:40:09.77,Qualification 13,Qualification,13,160,0,70,260,0,79,2017-03-31T10:42:58.0633333,"[{'teamNumber': 5811, 'station': 'Red1', 'dq': False}, {'teamNumber': 4292, 'station': 'Red2', 'dq': False}, {'teamNumber': 3138, 'station': 'Red3', 'dq': False}, {'teamNumber': 4787, 'station': 'Blue1', 'dq': False}, {'teamNumber': 1592, 'station': 'Blue2', 'dq': False}, {'teamNumber': 1736, 'station': 'Blue3', 'dq': False}]"
2017-03-31T10:47:34.1533333,Qualification 14,Qualification,14,90,0,10,134,0,11,2017-03-31T10:50:15.4066667,"[{'teamNumber': 6651, 'station': 'Red1', 'dq': False}, {'teamNumber': 1756, 'station': 'Red2', 'dq': False}, {'teamNumber': 5125, 'station': 'Red3', 'dq': False}, {'teamNumber': 1625, 'station': 'Blue1', 'dq': False}, {'teamNumber': 2451, 'station': 'Blue2', 'dq': False}, {'teamNumber': 1723, 'station': 'Blue3', 'dq': False}]"
2017-03-31T10:54:29.7566667,Qualification 15,Qualification,15,310,0,80,180,0,10,2017-03-31T10:57:52.0766667,"[{'teamNumber': 4645, 'station': 'Red1', 'dq': False}, {'teamNumber': 4213, 'station': 'Red2', 'dq': False}, {'teamNumber': 16, 'station': 'Red3', 'dq': False}, {'teamNumber': 5350, 'station': 'Blue1', 'dq': False}, {'teamNumber': 4096, 'station': 'Blue2', 'dq': False}, {'teamNumber': 3110, 'station': 'Blue3', 'dq': False}]"
2017-03-31T11:01:27.6066667,Qualification 16,Qualification,16,409,150,79,201,0,70,2017-03-31T11:04:11.0166667,"[{'teamNumber': 4284, 'station': 'Red1', 'dq': False}, {'teamNumber': 3620, 'station': 'Red2', 'dq': False}, {'teamNumber': 1781, 'station': 'Red3', 'dq': False}, {'teamNumber': 383, 'station': 'Blue1', 'dq': False}, {'teamNumber': 3061, 'station': 'Blue2', 'dq': False}, {'teamNumber': 3067, 'station': 'Blue3', 'dq': False}]"
2017-03-31T11:10:26.0433333,Qualification 17,Qualification,17,160,0,70,205,0,75,2017-03-31T11:13:10.0233333,"[{'teamNumber': 2136, 'station': 'Red1', 'dq': False}, {'teamNumber': 1939, 'station': 'Red2', 'dq': False}, {'teamNumber': 4524, 'station': 'Red3', 'dq': False}, {'teamNumber': 3488, 'station': 'Blue1', 'dq': False}, {'teamNumber': 5847, 'station': 'Blue2', 'dq': False}, {'teamNumber': 111, 'station': 'Blue3', 'dq': False}]"
